t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885719520152733,1784885719520539839,281,241,0.011877020820975304,6.272423267364502,0.0223174300044775,0.00043635445763356984,0.12240734696388245
1784885719650174860,1784885719650596752,280,243,0.013444052077829838,6.273861408233643,0.022423667833209038,0.00043636345071718097,0.12182740867137909
1784885719770178820,1784885719770680119,279,240,0.0024834051728248596,6.262762546539307,0.02244643308222294,0.00043637308408506215,0.1217038556933403
1784885719890163243,1784885719890549663,279,233,0.021812880411744118,6.282135963439941,0.022476786747574806,0.00043637005728669465,0.12153950333595276
1784885720010164141,1784885720010616230,279,238,0.011002876795828342,6.271295547485352,0.022476786747574806,0.00043637215276248753,0.12153950333595276
1784885720140163676,1784885720140542007,278,237,0.01799933612346649,6.278275012969971,0.022522317245602608,0.00043637334601953626,0.1212937980890274
1784885720260157857,1784885720260551752,279,234,0.02096901834011078,6.281035423278809,0.02243884466588497,0.0004363879270385951,0.12174501270055771
1784885720380157233,1784885720380574001,280,238,0.01723325438797474,6.277454376220703,0.022400902584195137,0.0004363771586213261,0.12195122241973877
1784885720510188676,1784885720510730441,280,238,0.022609233856201172,6.282907485961914,0.022378137335181236,0.0004363717744126916,0.12207528203725815
1784885720630161041,1784885720630569795,280,241,0.017322013154625893,6.2776103019714355,0.022362960502505302,0.00043637247290462255,0.12215812504291534
1784885720750369468,1784885720750999129,281,245,0.021201010793447495,6.281602382659912,0.02234778366982937,0.0004363645566627383,0.12224108725786209
1784885720870165524,1784885720870651952,280,238,0.009546170011162758,6.26982307434082,0.022400902584195137,0.00043637322960421443,0.12195122241973877
1784885721000182349,1784885721000653936,279,239,0.004195156041532755,6.26447057723999,0.02243884466588497,0.0004363733751233667,0.12174501270055771
1784885721120182200,1784885721120561145,280,240,0.01976613886654377,6.280187129974365,0.022423667833209038,0.0004363632178865373,0.12182740867137909
1784885721240168373,1784885721240627470,280,242,0.003078435780480504,6.263481616973877,0.022423667833209038,0.00043636446935124695,0.12182740867137909
1784885721370166886,1784885721370724276,281,245,0.008191820234060287,6.268496990203857,0.022355372086167336,0.00043637127964757383,0.12219959497451782
1784885721490183165,1784885721490595629,281,246,0.02198428101837635,6.282392978668213,0.0223401952534914,0.00043636406189762056,0.12228260934352875
1784885721610172528,1784885721610647967,281,242,0.0013788689393550158,6.2619428634643555,0.022309841588139534,0.00043635323527269065,0.12244898080825806
1784885721730155547,1784885721730514848,281,241,0.019007738679647446,6.279311656951904,0.022325018420815468,0.00043637133785523474,0.12236573547124863
1784885721860293774,1784885721861158305,280,246,0.01164096500724554,6.271956920623779,0.022362960502505302,0.00043637052294798195,0.12215812504291534
1784885721980191244,1784885721980582209,281,243,0.0009936094284057617,6.261296272277832,0.022325018420815468,0.000436371483374387,0.12236573547124863
1784885722100184021,1784885722100804222,281,246,0.014139162376523018,6.274714946746826,0.0222946647554636,0.00043635242036543787,0.12253233790397644
1784885722230182291,1784885722230489276,282,247,0.01124696433544159,6.271722793579102,0.022264311090111732,0.000436359376180917,0.12269938737154007
1784885722350161401,1784885722350547788,282,243,0.016646962612867355,6.277107238769531,0.0222718995064497,0.0004363604530226439,0.12265758216381073
1784885722470171336,1784885722470778016,282,243,0.002818180015310645,6.261722087860107,0.022211192175745964,0.0004364689521025866,0.12299282848834991
1784885722590183980,1784885722590636731,283,251,0.007487847004085779,6.268169403076172,0.02217325195670128,0.00043634508620016277,0.12320328503847122
1784885722720160549,1784885722720499844,282,255,0.0015113725094124675,6.262124061584473,0.022203603759407997,0.0004363498301245272,0.12303485721349716
1784885722850192150,1784885722850848649,282,248,0.0057795667089521885,6.266462802886963,0.022226369008421898,0.0004363449406810105,0.12290884554386139
1784885722970194500,1784885722970790496,284,247,0.00915336050093174,6.269643783569336,0.022112544625997543,0.00043635835754685104,0.12354152649641037
1784885723090267330,1784885723090717913,284,250,0.01777992583811283,6.278425693511963,0.02212013304233551,0.0004363475600257516,0.12349914014339447
1784885723210176368,1784885723210552283,285,255,0.016527945175766945,6.2757062911987305,0.022013895213603973,0.000436449859989807,0.1240951418876648
1784885723340159437,1784885723340546851,285,250,0.006542596034705639,6.267316818237305,0.02204424887895584,0.0004363386251498014,0.12392427027225494
1784885723470176798,1784885723470690994,285,249,0.008099021390080452,6.2687177658081055,0.02197595313191414,0.0004363494226709008,0.12430939078330994
1784885723590187321,1784885723590657006,285,249,0.020176494494080544,6.280667781829834,0.022006306797266006,0.0004363582993391901,0.12413793057203293
1784885723720176659,1784885723720576443,284,257,0.007855921052396297,6.268747329711914,0.022059425711631775,0.0004363304178696126,0.12383900582790375
1784885723840185476,1784885723840577433,285,247,0.013448210433125496,6.2742228507995605,0.02204424887895584,0.00043633856694214046,0.12392427027225494
1784885723970176742,1784885723970684633,284,250,0.007943732663989067,6.268869876861572,0.022112544625997543,0.0004363280313555151,0.12354152649641037
1784885724090172301,1784885724090639057,283,253,0.01511691976338625,6.275957107543945,0.022165663540363312,0.0004363340267445892,0.12324546277523041
1784885724210166784,1784885724210638288,282,258,0.008126399479806423,6.268746852874756,0.022226369008421898,0.000436349306255579,0.12290884554386139
1784885724340189253,1784885724340780390,283,251,0.019567856565117836,6.280092239379883,0.022135309875011444,0.0004363560292404145,0.12341446429491043
1784885724460164024,1784885724460699600,283,257,0.009224179200828075,6.268144130706787,0.022135309875011444,0.0004364679043646902,0.12341446429491043
1784885724590171731,1784885724590673408,284,257,0.0028681419789791107,6.2637858390808105,0.022112544625997543,0.0004363285843282938,0.12354152649641037
1784885724710186095,1784885724710827025,284,258,0.005778486840426922,6.266444206237793,0.022082190960645676,0.00043634616304188967,0.12371134012937546
1784885724830169007,1784885724830729285,285,253,0.014470444992184639,6.275180816650391,0.02204424887895584,0.00043634307803586125,0.12392427027225494
1784885724960182240,1784885724960827102,284,261,0.024000737816095352,6.283173084259033,0.02209736779332161,0.0004364502674434334,0.12362637370824814
1784885725080180488,1784885725080771546,283,250,0.007614799775183201,6.268558025360107,0.022135309875011444,0.00043632680899463594,0.12341446429491043
1784885725210157031,1784885725210697855,282,255,0.007476960774511099,6.268197536468506,0.022203603759407997,0.00043634226312860847,0.12303485721349716
1784885725330204190,1784885725330688493,283,258,0.014110628515481949,6.274479389190674,0.022180840373039246,0.0004363668558653444,0.12316113710403442
1784885725450147783,1784885725450479509,282,250,0.012879162095487118,6.273303985595703,0.02221878059208393,0.00043636292684823275,0.12295082211494446
1784885725570171335,1784885725570633849,282,254,0.005432514939457178,6.266026496887207,0.022211192175745964,0.00043635113979689777,0.12299282848834991
1784885725700169352,1784885725700537813,282,253,0.017538778483867645,6.2781267166137695,0.022233957424759865,0.00043635154725052416,0.12286689132452011
1784885725830180887,1784885725830609782,282,246,0.004699475597590208,6.265211582183838,0.0222718995064497,0.0004363568441476673,0.12265758216381073
1784885725950168002,1784885725950636339,282,254,0.012574566528201103,6.272988796234131,0.022226369008421898,0.00043636365444399416,0.12290884554386139
1784885726070170230,1784885726070616878,283,259,0.008463265374302864,6.268876552581787,0.02217325195670128,0.00043636374175548553,0.12320328503847122
1784885726190249985,1784885726191284240,284,251,0.0167637150734663,6.277254104614258,0.022059425711631775,0.0004363583866506815,0.12383900582790375
1784885726320163270,1784885726320556442,284,255,0.020777627825737,6.2803192138671875,0.022112544625997543,0.00043642453965730965,0.12354152649641037
1784885726440192590,1784885726440754572,283,256,0.0007832472329027951,6.261623382568359,0.022150486707687378,0.00043633405584841967,0.12332990765571594
1784885726570175112,1784885726570802011,285,252,0.006096036173403263,6.266510009765625,0.022036660462617874,0.0004363636835478246,0.12396693974733353
1784885726690156741,1784885726690444760,284,257,0.013600817881524563,6.274265766143799,0.022104956209659576,0.0004363462212495506,0.12358393520116806
1784885726820160328,1784885726820529005,284,257,0.0025066561065614223,6.26342248916626,0.022089779376983643,0.00043632875895127654,0.1236688420176506
1784885726940176482,1784885726940511728,284,252,0.01794152706861496,6.27860689163208,0.02212013304233551,0.0004363461921457201,0.12349914014339447
