t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550086059271172,1789550086064161118,279.960736386,431.820253443,0.2192087114746775,0.22079144585355603
1789550086062435668,1789550086073634441,279.960736386,431.820253443,0.21841734428523824,0.22000007866411675
1789550086073602683,1789550086076413056,280.101862638,431.956777752,0.21841734428523824,0.22000007866411675
1789550086077456092,1789550086080174394,280.101862638,431.956777752,0.21841734428523824,0.22000007866411675
1789550086083690717,1789550086094388758,280.101862638,431.956777752,0.2160432427169204,0.2168346099063597
1789550086094523700,1789550086096961525,280.239920928,432.09330206100003,0.2160432427169204,0.2168346099063597
1789550086098886119,1789550086103776120,280.239920928,432.09330206100003,0.2160432427169204,0.2168346099063597
1789550086105049356,1789550086114779230,280.239920928,432.09330206100003,0.21762597709579895,0.22000007866411675
1789550086115397997,1789550086117774711,280.38104718,432.235962294,0.21762597709579895,0.22000007866411675
1789550086118224185,1789550086121763619,280.38104718,432.235962294,0.21762597709579895,0.22000007866411675
1789550086122417773,1789550086126622176,280.38104718,432.235962294,0.21762597709579895,0.22000007866411675
1789550086127874505,1789550086136759747,280.38104718,432.235962294,0.21762597709579895,0.21841734428523824
1789550086136593342,1789550086138867596,280.520639451,432.372486603,0.21762597709579895,0.21841734428523824
1789550086139518084,1789550086142620934,280.520639451,432.372486603,0.21762597709579895,0.21841734428523824
1789550086145465029,1789550086157805336,280.520639451,432.372486603,0.2168346099063597,0.21762597709579895
1789550086159317789,1789550086163638950,280.663299684,432.513612855,0.2168346099063597,0.21762597709579895
1789550086165145681,1789550086178764353,280.663299684,432.513612855,0.21841734428523824,0.2192087114746775
1789550086180092162,1789550086182669780,280.801357974,432.647069202,0.21841734428523824,0.2192087114746775
1789550086186534912,1789550086198777036,280.801357974,432.647069202,0.21762597709579895,0.21762597709579895
1789550086199543132,1789550086203792127,280.939416264,432.78205953,0.21762597709579895,0.21762597709579895
1789550086205582057,1789550086208703369,280.939416264,432.78205953,0.21762597709579895,0.21762597709579895
1789550086209562298,1789550086221606684,280.939416264,432.78205953,0.2168346099063597,0.2168346099063597
